router
# node	city	y	x	mpi-partition
Node0	NA	0	0	0
Node1	NA	1	1	1
Node2	NA	2	2	2
Node3	NA	3	3	3
Node4	NA	4	4	4
Node5	NA	5	5	0
Node6	NA	6	6	1
Node7	NA	7	7	2
Node8	NA	8	8	3
Node9	NA	9	9	4
Node10	NA	10	10	0
Node11	NA	11	11	1
Node12	NA	12	12	2
Node13	NA	13	13	3
Node14	NA	14	14	4
Node15	NA	15	15	0
Node16	NA	16	16	1
Node17	NA	17	17	2
Node18	NA	18	18	3
Node19	NA	19	19	4
Node20	NA	20	20	0
Node21	NA	21	21	1
Node22	NA	22	22	2
Node23	NA	23	23	3
Node24	NA	24	24	4
Node25	NA	25	25	0
Node26	NA	26	26	1
Node27	NA	27	27	2
Node28	NA	28	28	3
Node29	NA	29	29	4
Node30	NA	30	30	0
Node31	NA	31	31	1

link
# from	to	capacity	metric	delay	queue
Node0	Node1	100Mbps		1	1ms	100
Node4	Node26	100Mbps		1	1ms	3
Node4	Node27	100Mbps		1	1ms	3
Node4	Node28	100Mbps		1	1ms	3
Node4	Node29	100Mbps		1	1ms	3
Node4	Node30	100Mbps		1	1ms	3
Node4	Node31	100Mbps		1	1ms	3
Node5	Node6	100Mbps		1	1ms	12
Node5	Node7	100Mbps		1	1ms	12
Node5	Node8	100Mbps		1	1ms	25
Node5	Node9	100Mbps		1	1ms	25
Node5	Node10	100Mbps		1	1ms	100
Node5	Node11	100Mbps		1	1ms	100
Node5	Node12	100Mbps		1	1ms	6
Node5	Node13	100Mbps		1	1ms	6
Node5	Node14	100Mbps		1	1ms	6
Node5	Node15	100Mbps		1	1ms	6
Node5	Node16	100Mbps		1	1ms	12
Node5	Node17	100Mbps		1	1ms	12
Node5	Node18	100Mbps		1	1ms	12
Node5	Node19	100Mbps		1	1ms	12
Node5	Node20	100Mbps		1	1ms	50
Node5	Node21	100Mbps		1	1ms	50
Node5	Node22	100Mbps		1	1ms	50
Node5	Node23	100Mbps		1	1ms	50
Node5	Node24	100Mbps		1	1ms	3
Node5	Node25	100Mbps		1	1ms	3
Node5	Node26	100Mbps		1	1ms	3
Node5	Node27	100Mbps		1	1ms	3
Node5	Node28	100Mbps		1	1ms	3
Node5	Node29	100Mbps		1	1ms	3
Node5	Node30	100Mbps		1	1ms	3
Node5	Node31	100Mbps		1	1ms	3
Node6	Node7	100Mbps		1	1ms	50
Node6	Node8	100Mbps		1	1ms	6
Node6	Node9	100Mbps		1	1ms	6
Node6	Node10	100Mbps		1	1ms	6
Node6	Node11	100Mbps		1	1ms	6
Node6	Node12	100Mbps		1	1ms	100
Node6	Node13	100Mbps		1	1ms	100
Node6	Node14	100Mbps		1	1ms	25
Node6	Node15	100Mbps		1	1ms	25
Node6	Node16	100Mbps		1	1ms	3
Node6	Node17	100Mbps		1	1ms	3
Node6	Node18	100Mbps		1	1ms	3
Node6	Node19	100Mbps		1	1ms	3
Node6	Node20	100Mbps		1	1ms	3
Node6	Node21	100Mbps		1	1ms	3
Node6	Node22	100Mbps		1	1ms	3
Node6	Node23	100Mbps		1	1ms	3
Node6	Node24	100Mbps		1	1ms	50
Node6	Node25	100Mbps		1	1ms	50
Node6	Node26	100Mbps		1	1ms	50
Node6	Node27	100Mbps		1	1ms	50
Node6	Node28	100Mbps		1	1ms	12
Node6	Node29	100Mbps		1	1ms	12
Node6	Node30	100Mbps		1	1ms	12
Node6	Node31	100Mbps		1	1ms	12
Node7	Node8	100Mbps		1	1ms	6
Node7	Node9	100Mbps		1	1ms	6
Node7	Node10	100Mbps		1	1ms	6
Node7	Node11	100Mbps		1	1ms	6
Node7	Node12	100Mbps		1	1ms	25
Node7	Node13	100Mbps		1	1ms	25
Node7	Node14	100Mbps		1	1ms	100
Node7	Node15	100Mbps		1	1ms	100
Node7	Node16	100Mbps		1	1ms	3
Node7	Node17	100Mbps		1	1ms	3
Node7	Node18	100Mbps		1	1ms	3
Node7	Node19	100Mbps		1	1ms	3
Node7	Node20	100Mbps		1	1ms	3
Node7	Node21	100Mbps		1	1ms	3
Node7	Node22	100Mbps		1	1ms	3
Node7	Node23	100Mbps		1	1ms	3
Node7	Node24	100Mbps		1	1ms	12
Node7	Node25	100Mbps		1	1ms	12
Node7	Node26	100Mbps		1	1ms	12
Node7	Node27	100Mbps		1	1ms	12
Node7	Node28	100Mbps		1	1ms	50
Node7	Node29	100Mbps		1	1ms	50
Node7	Node30	100Mbps		1	1ms	50
Node7	Node31	100Mbps		1	1ms	50
Node8	Node9	100Mbps		1	1ms	50
Node8	Node10	100Mbps		1	1ms	25
Node8	Node11	100Mbps		1	1ms	25
Node8	Node12	100Mbps		1	1ms	3
Node8	Node13	100Mbps		1	1ms	3
Node8	Node14	100Mbps		1	1ms	3
Node8	Node15	100Mbps		1	1ms	3
Node8	Node16	100Mbps		1	1ms	100
Node8	Node17	100Mbps		1	1ms	100
Node8	Node18	100Mbps		1	1ms	25
Node8	Node19	100Mbps		1	1ms	25
Node8	Node20	100Mbps		1	1ms	6
Node8	Node21	100Mbps		1	1ms	6
Node8	Node22	100Mbps		1	1ms	6
Node8	Node23	100Mbps		1	1ms	6
Node8	Node24	100Mbps		1	1ms	2
Node8	Node25	100Mbps		1	1ms	2
Node8	Node26	100Mbps		1	1ms	2
Node8	Node27	100Mbps		1	1ms	2
Node8	Node28	100Mbps		1	1ms	2
Node8	Node29	100Mbps		1	1ms	2
Node8	Node30	100Mbps		1	1ms	2
Node8	Node31	100Mbps		1	1ms	2
Node9	Node10	100Mbps		1	1ms	12
Node9	Node11	100Mbps		1	1ms	12
Node9	Node12	100Mbps		1	1ms	3
Node9	Node13	100Mbps		1	1ms	3
Node9	Node14	100Mbps		1	1ms	3
Node9	Node15	100Mbps		1	1ms	3
Node9	Node16	100Mbps		1	1ms	25
Node9	Node17	100Mbps		1	1ms	25
Node9	Node18	100Mbps		1	1ms	100
Node9	Node19	100Mbps		1	1ms	100
Node9	Node20	100Mbps		1	1ms	6
Node9	Node21	100Mbps		1	1ms	6
Node9	Node22	100Mbps		1	1ms	6
Node9	Node23	100Mbps		1	1ms	6
Node9	Node24	100Mbps		1	1ms	2
Node9	Node25	100Mbps		1	1ms	2
Node9	Node26	100Mbps		1	1ms	2
Node9	Node27	100Mbps		1	1ms	2
Node9	Node28	100Mbps		1	1ms	2
Node9	Node29	100Mbps		1	1ms	2
Node9	Node30	100Mbps		1	1ms	2
Node9	Node31	100Mbps		1	1ms	2
Node10	Node11	100Mbps		1	1ms	50
Node10	Node12	100Mbps		1	1ms	3
Node10	Node13	100Mbps		1	1ms	3
Node10	Node14	100Mbps		1	1ms	3
Node10	Node15	100Mbps		1	1ms	3
Node10	Node16	100Mbps		1	1ms	6
Node10	Node17	100Mbps		1	1ms	6
Node10	Node18	100Mbps		1	1ms	6
Node10	Node19	100Mbps		1	1ms	6
Node10	Node20	100Mbps		1	1ms	100
Node10	Node21	100Mbps		1	1ms	100
Node10	Node22	100Mbps		1	1ms	25
Node10	Node23	100Mbps		1	1ms	25
Node10	Node24	100Mbps		1	1ms	2
Node10	Node25	100Mbps		1	1ms	2
Node10	Node26	100Mbps		1	1ms	2
Node10	Node27	100Mbps		1	1ms	2
Node10	Node28	100Mbps		1	1ms	2
Node10	Node29	100Mbps		1	1ms	2
Node10	Node30	100Mbps		1	1ms	2
Node10	Node31	100Mbps		1	1ms	2
Node11	Node12	100Mbps		1	1ms	3
Node11	Node13	100Mbps		1	1ms	3
Node11	Node14	100Mbps		1	1ms	3
Node11	Node15	100Mbps		1	1ms	3
Node11	Node16	100Mbps		1	1ms	6
Node11	Node17	100Mbps		1	1ms	6
Node11	Node18	100Mbps		1	1ms	6
Node11	Node19	100Mbps		1	1ms	6
Node11	Node20	100Mbps		1	1ms	25
Node11	Node21	100Mbps		1	1ms	25
Node11	Node22	100Mbps		1	1ms	100
Node11	Node23	100Mbps		1	1ms	100
Node11	Node24	100Mbps		1	1ms	2
Node11	Node25	100Mbps		1	1ms	2
Node11	Node26	100Mbps		1	1ms	2
Node11	Node27	100Mbps		1	1ms	2
Node11	Node28	100Mbps		1	1ms	2
Node11	Node29	100Mbps		1	1ms	2
Node11	Node30	100Mbps		1	1ms	2
Node11	Node31	100Mbps		1	1ms	2
Node12	Node13	100Mbps		1	1ms	50
Node12	Node14	100Mbps		1	1ms	12
Node12	Node15	100Mbps		1	1ms	12
Node12	Node16	100Mbps		1	1ms	2
Node12	Node17	100Mbps		1	1ms	2
Node12	Node18	100Mbps		1	1ms	2
Node12	Node19	100Mbps		1	1ms	2
Node12	Node20	100Mbps		1	1ms	2
Node12	Node21	100Mbps		1	1ms	2
Node12	Node22	100Mbps		1	1ms	2
Node12	Node23	100Mbps		1	1ms	2
Node12	Node24	100Mbps		1	1ms	100
Node12	Node25	100Mbps		1	1ms	100
Node12	Node26	100Mbps		1	1ms	25
Node12	Node27	100Mbps		1	1ms	25
Node12	Node28	100Mbps		1	1ms	6
Node12	Node29	100Mbps		1	1ms	6
Node12	Node30	100Mbps		1	1ms	6
Node12	Node31	100Mbps		1	1ms	6
Node13	Node14	100Mbps		1	1ms	12
Node13	Node15	100Mbps		1	1ms	12
Node13	Node16	100Mbps		1	1ms	2
Node13	Node17	100Mbps		1	1ms	2
Node13	Node18	100Mbps		1	1ms	2
Node13	Node19	100Mbps		1	1ms	2
Node13	Node20	100Mbps		1	1ms	2
Node13	Node21	100Mbps		1	1ms	2
Node13	Node22	100Mbps		1	1ms	2
Node13	Node23	100Mbps		1	1ms	2
Node13	Node24	100Mbps		1	1ms	25
Node13	Node25	100Mbps		1	1ms	25
Node13	Node26	100Mbps		1	1ms	100
Node13	Node27	100Mbps		1	1ms	100
Node13	Node28	100Mbps		1	1ms	6
Node13	Node29	100Mbps		1	1ms	6
Node13	Node30	100Mbps		1	1ms	6
Node13	Node31	100Mbps		1	1ms	6
Node14	Node15	100Mbps		1	1ms	50
Node14	Node16	100Mbps		1	1ms	2
Node14	Node17	100Mbps		1	1ms	2
Node14	Node18	100Mbps		1	1ms	2
Node14	Node19	100Mbps		1	1ms	2
Node14	Node20	100Mbps		1	1ms	2
Node14	Node21	100Mbps		1	1ms	2
Node14	Node22	100Mbps		1	1ms	2
Node14	Node23	100Mbps		1	1ms	2
Node14	Node24	100Mbps		1	1ms	6
Node14	Node25	100Mbps		1	1ms	6
Node14	Node26	100Mbps		1	1ms	6
Node14	Node27	100Mbps		1	1ms	6
Node14	Node28	100Mbps		1	1ms	100
Node14	Node29	100Mbps		1	1ms	100
Node14	Node30	100Mbps		1	1ms	25
Node14	Node31	100Mbps		1	1ms	25
Node15	Node16	100Mbps		1	1ms	2
Node15	Node17	100Mbps		1	1ms	2
Node15	Node18	100Mbps		1	1ms	2
Node15	Node19	100Mbps		1	1ms	2
Node15	Node20	100Mbps		1	1ms	2
Node15	Node21	100Mbps		1	1ms	2
Node15	Node22	100Mbps		1	1ms	2
Node15	Node23	100Mbps		1	1ms	2
Node15	Node24	100Mbps		1	1ms	6
Node15	Node25	100Mbps		1	1ms	6
Node15	Node26	100Mbps		1	1ms	6
Node15	Node27	100Mbps		1	1ms	6
Node15	Node28	100Mbps		1	1ms	25
Node15	Node29	100Mbps		1	1ms	25
Node15	Node30	100Mbps		1	1ms	100
Node15	Node31	100Mbps		1	1ms	100
Node16	Node17	100Mbps		1	1ms	50
Node16	Node18	100Mbps		1	1ms	12
Node16	Node19	100Mbps		1	1ms	12
Node16	Node20	100Mbps		1	1ms	3
Node16	Node21	100Mbps		1	1ms	3
Node16	Node22	100Mbps		1	1ms	3
Node16	Node23	100Mbps		1	1ms	3
Node16	Node24	100Mbps		1	1ms	1
Node16	Node25	100Mbps		1	1ms	1
Node16	Node26	100Mbps		1	1ms	1
Node16	Node27	100Mbps		1	1ms	1
Node16	Node28	100Mbps		1	1ms	1
Node16	Node29	100Mbps		1	1ms	1
Node16	Node30	100Mbps		1	1ms	1
Node16	Node31	100Mbps		1	1ms	1
Node17	Node18	100Mbps		1	1ms	12
Node17	Node19	100Mbps		1	1ms	12
Node17	Node20	100Mbps		1	1ms	3
Node17	Node21	100Mbps		1	1ms	3
Node17	Node22	100Mbps		1	1ms	3
Node17	Node23	100Mbps		1	1ms	3
Node17	Node24	100Mbps		1	1ms	1
Node17	Node25	100Mbps		1	1ms	1
Node17	Node26	100Mbps		1	1ms	1
Node17	Node27	100Mbps		1	1ms	1
Node17	Node28	100Mbps		1	1ms	1
Node17	Node29	100Mbps		1	1ms	1
Node17	Node30	100Mbps		1	1ms	1
Node17	Node31	100Mbps		1	1ms	1
Node18	Node19	100Mbps		1	1ms	50
Node18	Node20	100Mbps		1	1ms	3
Node18	Node21	100Mbps		1	1ms	3
Node18	Node22	100Mbps		1	1ms	3
Node18	Node23	100Mbps		1	1ms	3
Node18	Node24	100Mbps		1	1ms	1
Node18	Node25	100Mbps		1	1ms	1
Node18	Node26	100Mbps		1	1ms	1
Node18	Node27	100Mbps		1	1ms	1
Node18	Node28	100Mbps		1	1ms	1
Node18	Node29	100Mbps		1	1ms	1
Node18	Node30	100Mbps		1	1ms	1
Node18	Node31	100Mbps		1	1ms	1
Node19	Node20	100Mbps		1	1ms	3
Node19	Node21	100Mbps		1	1ms	3
Node19	Node22	100Mbps		1	1ms	3
Node19	Node23	100Mbps		1	1ms	3
Node19	Node24	100Mbps		1	1ms	1
Node19	Node25	100Mbps		1	1ms	1
Node19	Node26	100Mbps		1	1ms	1
Node19	Node27	100Mbps		1	1ms	1
Node19	Node28	100Mbps		1	1ms	1
Node19	Node29	100Mbps		1	1ms	1
Node19	Node30	100Mbps		1	1ms	1
Node19	Node31	100Mbps		1	1ms	1
Node20	Node21	100Mbps		1	1ms	50
Node20	Node22	100Mbps		1	1ms	12
Node20	Node23	100Mbps		1	1ms	12
Node20	Node24	100Mbps		1	1ms	1
Node20	Node25	100Mbps		1	1ms	1
Node20	Node26	100Mbps		1	1ms	1
Node20	Node27	100Mbps		1	1ms	1
Node20	Node28	100Mbps		1	1ms	1
Node20	Node29	100Mbps		1	1ms	1
Node20	Node30	100Mbps		1	1ms	1
Node20	Node31	100Mbps		1	1ms	1
Node21	Node22	100Mbps		1	1ms	12
Node21	Node23	100Mbps		1	1ms	12
Node21	Node24	100Mbps		1	1ms	1
Node21	Node25	100Mbps		1	1ms	1
Node21	Node26	100Mbps		1	1ms	1
Node21	Node27	100Mbps		1	1ms	1
Node21	Node28	100Mbps		1	1ms	1
Node21	Node29	100Mbps		1	1ms	1
Node21	Node30	100Mbps		1	1ms	1
Node21	Node31	100Mbps		1	1ms	1
Node22	Node23	100Mbps		1	1ms	50
Node22	Node24	100Mbps		1	1ms	1
Node22	Node25	100Mbps		1	1ms	1
Node22	Node26	100Mbps		1	1ms	1
Node22	Node27	100Mbps		1	1ms	1
Node22	Node28	100Mbps		1	1ms	1
Node22	Node29	100Mbps		1	1ms	1
Node22	Node30	100Mbps		1	1ms	1
Node22	Node31	100Mbps		1	1ms	1
Node23	Node24	100Mbps		1	1ms	1
Node23	Node25	100Mbps		1	1ms	1
Node23	Node26	100Mbps		1	1ms	1
Node23	Node27	100Mbps		1	1ms	1
Node23	Node28	100Mbps		1	1ms	1
Node23	Node29	100Mbps		1	1ms	1
Node23	Node30	100Mbps		1	1ms	1
Node23	Node31	100Mbps		1	1ms	1
Node24	Node25	100Mbps		1	1ms	50
Node24	Node26	100Mbps		1	1ms	12
Node24	Node27	100Mbps		1	1ms	12
Node24	Node28	100Mbps		1	1ms	3
Node24	Node29	100Mbps		1	1ms	3
Node24	Node30	100Mbps		1	1ms	3
Node24	Node31	100Mbps		1	1ms	3
Node25	Node26	100Mbps		1	1ms	12
Node25	Node27	100Mbps		1	1ms	12
Node25	Node28	100Mbps		1	1ms	3
Node25	Node29	100Mbps		1	1ms	3
Node25	Node30	100Mbps		1	1ms	3
Node25	Node31	100Mbps		1	1ms	3
Node26	Node27	100Mbps		1	1ms	50
Node26	Node28	100Mbps		1	1ms	3
Node26	Node29	100Mbps		1	1ms	3
Node26	Node30	100Mbps		1	1ms	3
Node26	Node31	100Mbps		1	1ms	3
Node27	Node28	100Mbps		1	1ms	3
Node27	Node29	100Mbps		1	1ms	3
Node27	Node30	100Mbps		1	1ms	3
Node27	Node31	100Mbps		1	1ms	3
Node28	Node29	100Mbps		1	1ms	50
Node28	Node30	100Mbps		1	1ms	12
Node28	Node31	100Mbps		1	1ms	12
Node29	Node30	100Mbps		1	1ms	12
Node29	Node31	100Mbps		1	1ms	12
Node30	Node31	100Mbps		1	1ms	50
